0,AMM on,AMM off
0 days 00:00:00,7836200960.0,10892058624.0
0 days 00:00:00.500320,7837073408.0,10892058624.0
0 days 00:00:00.500817152,7837073408.0,10892083200.0
0 days 00:00:01.000409088,7837646848.0,10892083200.0
0 days 00:00:01.000754944,7837646848.0,10892124160.0
0 days 00:00:01.500481792,7837646848.0,20169089024.0
0 days 00:00:01.502035968,7837691904.0,20169089024.0
0 days 00:00:02.000307968,7837691904.0,39947620352.0
0 days 00:00:02.000893952,10732748800.0,39947620352.0
0 days 00:00:02.500102912,30152089600.0,39947620352.0
0 days 00:00:02.500674048,30152089600.0,55785988096.0
0 days 00:00:03.000711936,48678686720.0,55785988096.0
0 days 00:00:03.000742912,48678686720.0,76125040640.0
0 days 00:00:03.500232960,68433272832.0,76125040640.0
0 days 00:00:03.500457984,68433272832.0,96238059520.0
0 days 00:00:04.000188160,83436544000.0,96238059520.0
0 days 00:00:04.000815872,83436544000.0,123707453440.0
0 days 00:00:04.500098048,109261529088.0,123707453440.0
0 days 00:00:04.500612096,109261529088.0,141518184448.0
0 days 00:00:05.000552960,109261529088.0,149263892480.0
0 days 00:00:05.000772096,128513105920.0,149263892480.0
0 days 00:00:05.500039168,143429570560.0,149263892480.0
0 days 00:00:05.501494016,143429570560.0,154526547968.0
0 days 00:00:06.000189952,143429570560.0,158927306752.0
0 days 00:00:06.001004800,149101748224.0,158927306752.0
0 days 00:00:06.500468992,155934896128.0,158927306752.0
0 days 00:00:06.500869888,155934896128.0,162624745472.0
0 days 00:00:07.000849920,159060221952.0,162624745472.0
0 days 00:00:07.001040896,159060221952.0,164880801792.0
0 days 00:00:07.500514048,160677601280.0,164880801792.0
0 days 00:00:07.500530944,160677601280.0,168142655488.0
0 days 00:00:08.000131840,160677601280.0,175779794944.0
0 days 00:00:08.000591872,161974558720.0,175779794944.0
0 days 00:00:08.500802048,169542361088.0,175779794944.0
0 days 00:00:08.501142016,169542361088.0,181350309888.0
0 days 00:00:09.000619776,169542361088.0,183230832640.0
0 days 00:00:09.000688896,172524105728.0,183230832640.0
0 days 00:00:09.500797952,168419278848.0,183230832640.0
0 days 00:00:09.501210880,168419278848.0,184073633792.0
0 days 00:00:10.000355840,165912092672.0,184073633792.0
0 days 00:00:10.000568832,165912092672.0,184016457728.0
0 days 00:00:10.500765952,167269953536.0,184016457728.0
0 days 00:00:10.500786944,167269953536.0,185859035136.0
0 days 00:00:11.000403968,167269953536.0,190142947328.0
0 days 00:00:11.000747008,168297480192.0,190142947328.0
0 days 00:00:11.500109824,168297480192.0,197466124288.0
0 days 00:00:11.500509952,169923477504.0,197466124288.0
0 days 00:00:12.000296960,169923477504.0,207675449344.0
0 days 00:00:12.000626944,173161140224.0,207675449344.0
0 days 00:00:12.500588032,180130975744.0,207675449344.0
0 days 00:00:12.501745920,180130975744.0,210764554240.0
0 days 00:00:13.000303872,180130975744.0,212313821184.0
0 days 00:00:13.000358144,182253297664.0,212313821184.0
0 days 00:00:13.500595968,178036957184.0,212313821184.0
0 days 00:00:13.501015808,178036957184.0,211418484736.0
0 days 00:00:14.000546048,178036957184.0,213726375936.0
0 days 00:00:14.000929024,176309133312.0,213726375936.0
0 days 00:00:14.500368128,178562682880.0,213726375936.0
0 days 00:00:14.500431104,178562682880.0,214968270848.0
0 days 00:00:15.000324096,178562682880.0,211989360640.0
0 days 00:00:15.000672,178300628992.0,211989360640.0
0 days 00:00:15.500681984,178300628992.0,212334600192.0
0 days 00:00:15.500719104,169967554560.0,212334600192.0
0 days 00:00:16.000303104,170302005248.0,212334600192.0
0 days 00:00:16.000797952,170302005248.0,213685661696.0
0 days 00:00:16.500651776,170302005248.0,214243340288.0
0 days 00:00:16.501559040,177616621568.0,214243340288.0
0 days 00:00:17.000656896,177616621568.0,212301135872.0
0 days 00:00:17.001033984,177328545792.0,212301135872.0
0 days 00:00:17.500777984,177328545792.0,211805298688.0
0 days 00:00:17.500920064,167719395328.0,211805298688.0
0 days 00:00:18.000119808,167719395328.0,211025215488.0
0 days 00:00:18.000148992,164986544128.0,211025215488.0
0 days 00:00:18.500379136,164797337600.0,211025215488.0
0 days 00:00:18.500442880,164797337600.0,209006407680.0
0 days 00:00:19.000544,161659609088.0,209006407680.0
0 days 00:00:19.001040896,161659609088.0,205602107392.0
0 days 00:00:19.500182784,161659609088.0,198040563712.0
0 days 00:00:19.500775936,153013317632.0,198040563712.0
0 days 00:00:20.000247040,149068177408.0,198040563712.0
0 days 00:00:20.000608,149068177408.0,186272518144.0
0 days 00:00:20.500133120,149068177408.0,179811962880.0
0 days 00:00:20.500206848,149048008704.0,179811962880.0
0 days 00:00:21.000623872,149048008704.0,168047665152.0
0 days 00:00:21.000653056,145005105152.0,168047665152.0
0 days 00:00:21.500352768,145005105152.0,149762043904.0
0 days 00:00:21.500787968,130261262336.0,149762043904.0
0 days 00:00:22.000793088,130261262336.0,123537682432.0
0 days 00:00:22.000803840,118995394560.0,123537682432.0
0 days 00:00:22.500131840,118995394560.0,97813663744.0
0 days 00:00:22.500634880,103141941248.0,97813663744.0
0 days 00:00:23.000414976,86615388160.0,97813663744.0
0 days 00:00:23.000484096,86615388160.0,64767897600.0
0 days 00:00:23.500205056,62628036608.0,
0 days 00:00:24.000541952,47456186368.0,
0 days 00:00:24.500744960,31318675456.0,
